iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"TGT","TARGET CORP","US87612E1064","2259101","0.2750","Consumer Discretionary","Equity","$193,331,658","2,415,438","80.04","New York Stock Exchange Inc.","193,331,657.52"
"DOW","DOW CHEMICAL","US2605431038","2278719","0.2748","Materials","Equity","$193,219,002","4,099,703","47.13","New York Stock Exchange Inc.","193,219,002.39"
"PNC","PNC FINANCIAL SERVICES GROUP INC","US6934751057","2692665","0.2747","Financials","Equity","$193,147,893","1,959,301","98.58","New York Stock Exchange Inc.","193,147,892.58"
"BK","BANK OF NEW YORK MELLON CORP","US0640581007","B1Z77F6","0.2679","Financials","Equity","$188,377,034","4,242,726","44.40","New York Stock Exchange Inc.","188,377,034.40"
"DD","E I DU PONT DE NEMOURS","US2635341090","2018175","0.2658","Materials","Equity","$186,877,694","3,424,550","54.57","New York Stock Exchange Inc.","186,877,693.50"
"MON","MONSANTO","US61166W1018","2654320","0.2632","Materials","Equity","$185,083,194","1,801,121","102.76","New York Stock Exchange Inc.","185,083,193.96"
"TJX","TJX INC","US8725401090","2989301","0.2569","Consumer Discretionary","Equity","$180,637,916","2,573,923","70.18","New York Stock Exchange Inc.","180,637,916.14"
"KHC","KRAFT HEINZ","US5007541064","BYRY499","0.2565","Consumer Staples","Equity","$180,325,178","2,240,621","80.48","NASDAQ","180,325,178.08"
"NEE","NEXTERA ENERGY INC","US65339F1012","2328915","0.2532","Utilities","Equity","$178,026,151","1,680,126","105.96","New York Stock Exchange Inc.","178,026,150.96"
"GD","GENERAL DYNAMICS CORP","US3695501086","2365161","0.2518","Industrials","Equity","$177,002,891","1,181,437","149.82","New York Stock Exchange Inc.","177,002,891.34"
"CAT","CATERPILLAR INC","US1491231015","2180201","0.2497","Industrials","Equity","$175,563,245","2,283,601","76.88","New York Stock Exchange Inc.","175,563,244.88"
"FDX","FEDEX CORP","US31428X1063","2142784","0.2430","Industrials","Equity","$170,821,864","997,267","171.29","New York Stock Exchange Inc.","170,821,864.43"
"COF","CAPITAL ONE FINANCIAL CORP","US14040H1059","2654461","0.2407","Financials","Equity","$169,216,572","2,067,146","81.86","New York Stock Exchange Inc.","169,216,571.56"
"REGN","REGENERON PHARMACEUTICALS INC","US75886F1075","2730190","0.2403","Health Care","Equity","$168,960,774","285,214","592.40","NASDAQ","168,960,773.60"
"ALXN","ALEXION PHARMACEUTICALS INC","US0153511094","2036070","0.2385","Health Care","Equity","$167,657,555","847,012","197.94","NASDAQ","167,657,555.28"
"CRM","SALESFORCE.COM INC","US79466L3024","2310525","0.2379","Information Technology","Equity","$167,283,047","2,306,398","72.53","New York Stock Exchange Inc.","167,283,046.94"
"PYPL","PAYPAL HOLDINGS INC","US70450Y1038","BYW36M8","0.2336","Information Technology","Equity","$164,230,478","4,182,085","39.27","NASDAQ","164,230,477.95"
"KMB","KIMBERLY CLARK CORP","US4943681035","2491839","0.2304","Consumer Staples","Equity","$161,995,779","1,377,398","117.61","New York Stock Exchange Inc.","161,995,778.78"
"GM","GENERAL MOTORS","US37045V1008","B665KZ5","0.2295","Consumer Discretionary","Equity","$161,390,301","5,107,288","31.60","New York Stock Exchange Inc.","161,390,300.80"
"BLK","BLACKROCK INC.","US09247X1019","2494504","0.2287","Financials","Equity","$160,779,386","480,383","334.69","New York Stock Exchange Inc.","160,779,386.27"
"PSX","PHILLIPS 66","US7185461040","B78C4Y8","0.2284","Energy","Equity","$160,601,910","2,051,634","78.28","New York Stock Exchange Inc.","160,601,909.52"
"D","DOMINION RESOURCES INC","US25746U1097","2542049","0.2272","Utilities","Equity","$159,762,668","2,245,119","71.16","New York Stock Exchange Inc.","159,762,668.04"
"EOG","EOG RESOURCES INC","US26875P1012","2318024","0.2247","Energy","Equity","$158,010,929","2,076,632","76.09","New York Stock Exchange Inc.","158,010,928.88"
