iShares Japan Large-Cap ETF
Inception Date,"Oct 23, 2001"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$83,907,585"
Shares Outstanding,"1,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"7011","JP3900000005","6597067","MITSUBISHI HEAVY INDUSTRIES LTD","0.7478","Equity","Industrials","Japan","$626,052","105,000","5.96","Tokyo Stock Exchange","USD","JPY","119.94","626,051.61"
"6273","JP3162600005","6763965","SMC (JAPAN) CORP","0.7467","Equity","Industrials","Japan","$625,176","2,100","297.70","Tokyo Stock Exchange","USD","JPY","119.94","625,176.14"
"6301","JP3304200003","6496584","KOMATSU LTD","0.7396","Equity","Industrials","Japan","$619,173","31,000","19.97","Tokyo Stock Exchange","USD","JPY","119.94","619,172.89"
"8750","JP3476480003","B601QS4","THE DAI-ICHI LIFE INSURANCE CO LTD","0.7291","Equity","Financials","Japan","$610,381","36,000","16.96","Tokyo Stock Exchange","USD","JPY","119.94","610,380.62"
"7974","JP3756600007","6639550","NINTENDO CO LTD","0.7179","Equity","Information Technology","Japan","$601,013","3,500","171.72","Tokyo Stock Exchange","USD","JPY","119.94","601,013.05"
"6971","JP3249600002","6499260","KYOCERA CORP","0.7163","Equity","Information Technology","Japan","$599,733","11,000","54.52","Tokyo Stock Exchange","USD","JPY","119.94","599,733.19"
"6594","JP3734800000","6640682","NIDEC CORP","0.7141","Equity","Industrials","Japan","$597,857","8,000","74.73","Tokyo Stock Exchange","USD","JPY","119.94","597,857.17"
"4901","JP3814000000","6356525","FUJIFILM HOLDINGS CORP","0.7034","Equity","Information Technology","Japan","$588,932","15,500","38.00","Tokyo Stock Exchange","USD","JPY","119.94","588,931.50"
"6326","JP3266400005","6497509","KUBOTA CORP","0.6935","Equity","Industrials","Japan","$580,598","37,000","15.69","Tokyo Stock Exchange","USD","JPY","119.94","580,597.82"
"8830","JP3409000001","6858902","SUMITOMO REALTY & DEVELOPMENT LTD","0.6850","Equity","Financials","Japan","$573,498","15,000","38.23","Tokyo Stock Exchange","USD","JPY","119.94","573,498.14"
"4523","JP3160400002","6307200","EISAI LTD","0.6773","Equity","Health Care","Japan","$567,045","8,500","66.71","Tokyo Stock Exchange","USD","JPY","119.94","567,044.65"
"8309","JP3892100003","6431897","SUMITOMO MITSUI TRUST HOLDINGS INC","0.6688","Equity","Financials","Japan","$559,962","125,040","4.48","Tokyo Stock Exchange","USD","JPY","119.94","559,961.51"
"4578","JP3188220002","B5LTM93","OTSUKA HOLDINGS LTD","0.6636","Equity","Health Care","Japan","$555,561","17,500","31.75","Tokyo Stock Exchange","USD","JPY","119.94","555,561.35"
"4661","JP3198900007","6648891","ORIENTAL LAND LTD","0.6360","Equity","Consumer Discretionary","Japan","$532,488","8,000","66.56","Tokyo Stock Exchange","USD","JPY","119.94","532,488.43"
"7741","JP3837800006","6441506","HOYA CORP","0.6177","Equity","Information Technology","Japan","$517,161","13,500","38.31","Tokyo Stock Exchange","USD","JPY","119.94","517,161.38"
"2502","JP3116000005","6054409","ASAHI GROUP HOLDINGS LTD","0.6060","Equity","Consumer Staples","Japan","$507,383","15,500","32.73","Tokyo Stock Exchange","USD","JPY","119.94","507,383.17"
"8725","JP3890310000","B2Q4CS1","MS&AD INSURANCE GROUP HOLDINGS INC","0.5938","Equity","Financials","Japan","$497,094","17,000","29.24","Tokyo Stock Exchange","USD","JPY","119.94","497,094.26"
"8053","JP3404600003","6858946","SUMITOMO CORP","0.5671","Equity","Industrials","Japan","$474,751","39,500","12.02","Tokyo Stock Exchange","USD","JPY","119.94","474,750.91"
"9735","JP3421800008","6791591","SECOM LTD","0.5629","Equity","Industrials","Japan","$471,234","6,500","72.50","Tokyo Stock Exchange","USD","JPY","119.94","471,234.42"
"1925","JP3505000004","6251363","DAIWA HOUSE INDUSTRY LTD","0.5606","Equity","Financials","Japan","$469,342","21,000","22.35","Tokyo Stock Exchange","USD","JPY","119.94","469,341.73"
"7269","JP3397200001","6865504","SUZUKI MOTOR CORP","0.5527","Equity","Consumer Discretionary","Japan","$462,740","14,500","31.91","Tokyo Stock Exchange","USD","JPY","119.94","462,740.23"
"6502","JP3592200004","6897217","TOSHIBA CORP","0.5422","Equity","Industrials","Japan","$453,958","135,000","3.36","Tokyo Stock Exchange","USD","JPY","119.94","453,958.39"
"2802","JP3119600009","6010906","AJINOMOTO INC","0.5195","Equity","Consumer Staples","Japan","$434,902","20,000","21.75","Tokyo Stock Exchange","USD","JPY","119.94","434,902.24"
"9531","JP3573000001","6895448","TOKYO GAS LTD","0.5159","Equity","Utilities","Japan","$431,921","75,000","5.76","Tokyo Stock Exchange","USD","JPY","119.94","431,921.46"
"8630","JP3165000005","B62G7K6","SOMPO JAPAN NIPPONKOA HOLDINGS INC","0.5144","Equity","Financials","Japan","$430,696","13,000","33.13","Tokyo Stock Exchange","USD","JPY","119.94","430,695.79"
"3402","JP3621000003","6897143","TORAY INDUSTRIES INC","0.5109","Equity","Materials","Japan","$427,732","50,000","8.55","Tokyo Stock Exchange","USD","JPY","119.94","427,731.69"
"1605","JP3294460005","B10RB15","INPEX CORP","0.5018","Equity","Energy","Japan","$420,128","34,000","12.36","Tokyo Stock Exchange","USD","JPY","119.94","420,127.57"
"5411","JP3386030005","6543792","JFE HOLDINGS INC","0.4894","Equity","Materials","Japan","$409,765","18,025","22.73","Tokyo Stock Exchange","USD","JPY","119.94","409,764.98"
"8601","JP3502200003","6251448","DAIWA SECURITIES GROUP INC","0.4873","Equity","Financials","Japan","$408,013","50,000","8.16","Tokyo Stock Exchange","USD","JPY","119.94","408,012.67"
"2503","JP3258000003","6493745","KIRIN HOLDINGS LTD","0.4866","Equity","Consumer Staples","Japan","$407,429","29,000","14.05","Tokyo Stock Exchange","USD","JPY","119.94","407,429.02"
"9201","JP3705200008","B8BRV46","JAPAN AIRLINES LTD","0.4598","Equity","Industrials","Japan","$384,979","11,500","33.48","Tokyo Stock Exchange","USD","JPY","119.94","384,979.36"
"3407","JP3111200006","6054603","ASAHI KASEI CORP","0.4553","Equity","Materials","Japan","$381,206","40,000","9.53","Tokyo Stock Exchange","USD","JPY","119.94","381,206.49"
"4528","JP3197600004","6660107","ONO PHARMACEUTICAL CO LTD","0.4528","Equity","Health Care","Japan","$379,080","3,500","108.31","Tokyo Stock Exchange","USD","JPY","119.94","379,080.34"
"4324","JP3551520004","6416281","DENTSU INC","0.4422","Equity","Consumer Discretionary","Japan","$370,201","8,000","46.28","Tokyo Stock Exchange","USD","JPY","119.94","370,200.53"
"8308","JP3500610005","6421553","RESONA HOLDINGS INC","0.4418","Equity","Financials","Japan","$369,882","69,500","5.32","Tokyo Stock Exchange","USD","JPY","119.94","369,882.44"
"6201","JP3634600005","6900546","TOYOTA INDUSTRIES CORP","0.4376","Equity","Consumer Discretionary","Japan","$366,365","6,500","56.36","Tokyo Stock Exchange","USD","JPY","119.94","366,365.11"
"4568","JP3475350009","B0J7D91","DAIICHI SANKYO LTD","0.4354","Equity","Health Care","Japan","$364,512","21,003","17.36","Tokyo Stock Exchange","USD","JPY","119.94","364,511.98"
"8113","JP3951600000","6911485","UNICHARM CORP","0.4202","Equity","Consumer Staples","Japan","$351,782","15,500","22.70","Tokyo Stock Exchange","USD","JPY","119.94","351,782.22"
"5802","JP3407400005","6858708","SUMITOMO ELECTRIC INDUSTRIES LTD","0.4183","Equity","Consumer Discretionary","Japan","$350,190","25,000","14.01","Tokyo Stock Exchange","USD","JPY","119.94","350,189.69"
"4507","JP3347200002","6804682","SHIONOGI LTD","0.4173","Equity","Health Care","Japan","$349,356","10,000","34.94","Tokyo Stock Exchange","USD","JPY","119.94","349,355.90"
"6988","JP3684000007","6641801","NITTO DENKO CORP","0.4140","Equity","Materials","Japan","$346,646","5,000","69.33","Tokyo Stock Exchange","USD","JPY","119.94","346,646.10"
"5020","JP3386450005","B627LW9","JX HOLDINGS INC","0.4110","Equity","Energy","Japan","$344,083","78,040","4.41","Tokyo Stock Exchange","USD","JPY","119.94","344,082.64"
