iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$443,465,485"
Shares Outstanding,"7,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"MET","METLIFE INC","US59156R1086","2573209","0.8840","Financials","Equity","United States","$3,932,273","70,839","55.51","New York Stock Exchange Inc.","USD","USD","1.00","3,932,272.89"
"PRU","PRUDENTIAL PLC","GB0007099541","0709954","0.8797","Financials","Equity","United Kingdom","$3,912,837","163,863","23.88","London Stock Exchange","USD","GBP","0.64","3,912,837.06"
"SPG","SIMON PROPERTY GROUP REIT INC","US8288061091","2812452","0.8697","Financials","Equity","United States","$3,868,727","20,502","188.70","New York Stock Exchange Inc.","USD","USD","1.00","3,868,727.40"
"MS","MORGAN STANLEY","US6174464486","2262314","0.8599","Financials","Equity","United States","$3,824,847","98,073","39.00","New York Stock Exchange Inc.","USD","USD","1.00","3,824,847.00"
"BNS","BANK OF NOVA SCOTIA","CA0641491075","2076281","0.8421","Financials","Equity","Canada","$3,745,844","77,265","48.48","Toronto Stock Exchange","USD","CAD","1.32","3,745,843.83"
"1398","INDUSTRIAL & COMMERCIAL BANK OF CH","CNE1000003G1","B1G1QD8","0.8056","Financials","Equity","China","$3,583,421","5,202,000","0.69","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","3,583,421.05"
"ISP","INTESA SANPAOLO","IT0000072618","4076836","0.7776","Financials","Equity","Italy","$3,459,010","921,061","3.76","Borsa Italiana S.P.A.","USD","EUR","0.92","3,459,009.95"
"CS","AXA SA","FR0000120628","7088429","0.7469","Financials","Equity","France","$3,322,376","124,236","26.74","Nyse Euronext - Euronext Paris","USD","EUR","0.92","3,322,375.83"
"8411","MIZUHO FINANCIAL GROUP INC","JP3885780001","6591014","0.7365","Financials","Equity","Japan","$3,276,143","1,560,600","2.10","Tokyo Stock Exchange","USD","JPY","125.00","3,276,142.57"
"PNC","PNC FINANCIAL SERVICES GROUP INC","US6934751057","2692665","0.7290","Financials","Equity","United States","$3,242,789","32,895","98.58","New York Stock Exchange Inc.","USD","USD","1.00","3,242,789.10"
"BK","BANK OF NEW YORK MELLON CORP","US0640581007","B1Z77F6","0.7270","Financials","Equity","United States","$3,233,563","72,828","44.40","New York Stock Exchange Inc.","USD","USD","1.00","3,233,563.20"
"DBK","DEUTSCHE BANK AG","DE0005140008","5750355","0.6726","Financials","Equity","Germany","$2,991,814","87,669","34.13","Xetra","USD","EUR","0.92","2,991,813.62"
"COF","CAPITAL ONE FINANCIAL CORP","US14040H1059","2654461","0.6532","Financials","Equity","United States","$2,905,703","35,496","81.86","New York Stock Exchange Inc.","USD","USD","1.00","2,905,702.56"
"ZURN","ZURICH INSURANCE GROUP AG","CH0011075394","5983816","0.6475","Financials","Equity","Switzerland","$2,880,343","9,486","303.64","Six Swiss Exchange Ag","USD","CHF","0.98","2,880,342.86"
"CSGN","CREDIT SUISSE GROUP AG","CH0012138530","7171589","0.6192","Financials","Equity","Switzerland","$2,754,240","94,248","29.22","Six Swiss Exchange Ag","USD","CHF","0.98","2,754,240.00"
"AMT","AMERICAN TOWER REIT CORP","US03027X1000","B7FBFL2","0.6017","Financials","Equity","United States","$2,676,252","27,693","96.64","New York Stock Exchange Inc.","USD","USD","1.00","2,676,251.52"
"GLE","SOCIETE GENERALE","FR0000130809","5966516","0.5996","Financials","Equity","France","$2,666,871","50,949","52.34","Nyse Euronext - Euronext Paris","USD","EUR","0.92","2,666,870.92"
"BLK","BLACKROCK INC.","US09247X1019","2494504","0.5986","Financials","Equity","United States","$2,662,794","7,956","334.69","New York Stock Exchange Inc.","USD","USD","1.00","2,662,793.64"
"SCHW","CHARLES SCHWAB CORP","US8085131055","2779397","0.5902","Financials","Equity","United States","$2,625,373","74,205","35.38","New York Stock Exchange Inc.","USD","USD","1.00","2,625,372.90"
"PRU","PRUDENTIAL FINANCIAL INC","US7443201022","2819118","0.5811","Financials","Equity","United States","$2,584,733","28,764","89.86","New York Stock Exchange Inc.","USD","USD","1.00","2,584,733.04"
"NDA SEK","NORDEA BANK","SE0000427361","5380031","0.5536","Financials","Equity","Sweden","$2,462,424","201,042","12.25","Nasdaq Omx Nordic","USD","SEK","8.74","2,462,424.48"
"UCG","UNICREDIT","IT0004781412","B5M1SM3","0.5462","Financials","Equity","Italy","$2,429,693","351,288","6.92","Borsa Italiana S.P.A.","USD","EUR","0.92","2,429,693.02"
"BMO","BANK OF MONTREAL","CA0636711016","2076009","0.5207","Financials","Equity","Canada","$2,316,273","41,310","56.07","Toronto Stock Exchange","USD","CAD","1.32","2,316,272.60"
"ACE","ACE LTD","CH0044328745","B3BQMF6","0.5199","Financials","Equity","United States","$2,312,393","20,808","111.13","New York Stock Exchange Inc.","USD","USD","1.00","2,312,393.04"
"MFC","MANULIFE FINANCIAL CORP","CA56501R1064","2492519","0.5040","Financials","Equity","Canada","$2,241,658","126,684","17.69","Toronto Stock Exchange","USD","CAD","1.32","2,241,658.08"
"TRV","TRAVELERS COMPANIES INC","US89417E1091","2769503","0.4816","Financials","Equity","United States","$2,142,392","20,196","106.08","New York Stock Exchange Inc.","USD","USD","1.00","2,142,391.68"
"AV.","AVIVA PLC","GB0002162385","0216238","0.4777","Financials","Equity","United Kingdom","$2,124,948","258,111","8.23","London Stock Exchange","USD","GBP","0.64","2,124,948.49"
"STT","STATE STREET CORP","US8574771031","2842040","0.4647","Financials","Equity","United States","$2,067,229","26,469","78.10","New York Stock Exchange Inc.","USD","USD","1.00","2,067,228.90"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","CA1125851040","2092599","0.4574","Financials","Equity","Canada","$2,034,591","58,140","34.99","Toronto Stock Exchange","USD","CAD","1.32","2,034,590.79"
"MMC","MARSH & MCLENNAN INC","US5717481023","2567741","0.4551","Financials","Equity","United States","$2,024,470","34,731","58.29","New York Stock Exchange Inc.","USD","USD","1.00","2,024,469.99"
"CME","CME GROUP INC CLASS A","US12572Q1058","2965839","0.4546","Financials","Equity","United States","$2,021,918","20,655","97.89","NASDAQ","USD","USD","1.00","2,021,917.95"
"BBT","BB AND T CORP","US0549371070","2830904","0.4541","Financials","Equity","United States","$2,019,755","49,419","40.87","New York Stock Exchange Inc.","USD","USD","1.00","2,019,754.53"
