iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$2,923,457,080"
Shares Outstanding,"65,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"ENEL","ENEL","IT0003128367","7144569","0.3937","Utilities","Equity","Italy","$11,548,232","2,423,021","4.77","Borsa Italiana S.P.A.","USD","EUR","0.92","11,548,231.73"
"BMW","BAYERISCHE MOTORENWERKE AG BMW","DE0005190003","5756029","0.3833","Consumer Discretionary","Equity","Germany","$11,242,258","111,281","101.03","Xetra","USD","EUR","0.92","11,242,257.67"
"ERIC B","ERICSSON B","SE0000108656","5959378","0.3806","Information Technology","Equity","Sweden","$11,163,875","1,060,647","10.53","Nasdaq Omx Nordic","USD","SEK","8.74","11,163,874.55"
"VOW3","VOLKSWAGEN AG (PFD NON-VTG)","DE0007664039","5497168","0.3788","Consumer Discretionary","Equity","Germany","$11,110,402","54,198","205.00","Xetra","USD","EUR","0.92","11,110,401.53"
"STAN","STANDARD CHARTERED PLC","GB0004082847","0408284","0.3691","Financials","Equity","United Kingdom","$10,825,210","726,524","14.90","London Stock Exchange","USD","GBP","0.64","10,825,209.71"
"SREN","SWISS RE AG","CH0126881561","B545MG5","0.3657","Financials","Equity","Switzerland","$10,725,261","120,063","89.33","Six Swiss Exchange Ag","USD","CHF","0.98","10,725,261.12"
"WPP","WPP PLC","JE00B8KF9B49","B8KF9B4","0.3645","Consumer Discretionary","Equity","United Kingdom","$10,691,696","463,817","23.05","London Stock Exchange","USD","GBP","0.64","10,691,695.66"
"DG","VINCI SA","FR0000125486","B1XH026","0.3514","Industrials","Equity","France","$10,308,265","159,944","64.45","Nyse Euronext - Euronext Paris","USD","EUR","0.92","10,308,264.68"
"ENGI","ENGIE SA","FR0010208488","B0C2CQ3","0.3492","Utilities","Equity","France","$10,241,752","528,904","19.36","Nyse Euronext - Euronext Paris","USD","EUR","0.92","10,241,751.53"
"DPW","DEUTSCHE POST AG","DE0005552004","4617859","0.3477","Industrials","Equity","Germany","$10,198,291","331,980","30.72","Xetra","USD","EUR","0.92","10,198,291.31"
"MUV2","MUNICH REINSURANCE COMPANY","DE0008430026","5294121","0.3435","Financials","Equity","Germany","$10,074,952","54,315","185.49","Xetra","USD","EUR","0.92","10,074,952.08"
"FRE","FRESENIUS SE AND CO KGAA","DE0005785604","4352097","0.3310","Health Care","Equity","Germany","$9,708,370","137,513","70.60","Xetra","USD","EUR","0.92","9,708,369.74"
"LHN","LAFARGEHOLCIM LTD LTD","CH0012214059","7110753","0.3269","Materials","Equity","Switzerland","$9,588,523","136,428","70.28","Six Swiss Exchange Ag","USD","CHF","0.98","9,588,522.54"
"TSCO","TESCO PLC","GB0008847096","0884709","0.3214","Consumer Staples","Equity","United Kingdom","$9,426,334","2,803,998","3.36","London Stock Exchange","USD","GBP","0.64","9,426,334.11"
"CPG","COMPASS GROUP PLC","GB00BLNN3L44","BLNN3L4","0.3205","Consumer Discretionary","Equity","United Kingdom","$9,400,783","584,800","16.08","London Stock Exchange","USD","GBP","0.64","9,400,782.81"
"UL","UNIBAIL-RODAMCO SE REIT","FR0000124711","B1YY4B3","0.3197","Financials","Equity","France","$9,376,708","35,063","267.42","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","9,376,707.52"
"EOAN","E.ON N","DE000ENAG999","4942904","0.3181","Utilities","Equity","Germany","$9,330,021","697,485","13.38","Xetra","USD","EUR","0.92","9,330,020.75"
"CON","CONTINENTAL AG","DE0005439004","4598589","0.3173","Consumer Discretionary","Equity","Germany","$9,307,717","38,540","241.51","Xetra","USD","EUR","0.92","9,307,716.87"
"G","ASSICURAZIONI GENERALI","IT0000062072","4056719","0.3165","Financials","Equity","Italy","$9,282,546","475,897","19.51","Borsa Italiana S.P.A.","USD","EUR","0.92","9,282,545.88"
"PHIA","KONINKLIJKE PHILIPS NV","NL0000009538","5986622","0.3087","Industrials","Equity","Netherlands","$9,054,338","326,119","27.76","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","9,054,337.75"
"EI","ESSILOR INTERNATIONAL SA","FR0000121667","7212477","0.3062","Health Care","Equity","France","$8,981,033","69,599","129.04","Nyse Euronext - Euronext Paris","USD","EUR","0.92","8,981,033.21"
"NOK1V","NOKIA","FI0009000681","5902941","0.3036","Information Technology","Equity","Finland","$8,904,027","1,291,413","6.89","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.92","8,904,026.93"
"LGEN","LEGAL & GENERAL GROUP PLC","GB0005603997","0560399","0.2952","Financials","Equity","United Kingdom","$8,658,619","2,049,467","4.22","London Stock Exchange","USD","GBP","0.64","8,658,618.72"
"RI","PERNOD RICARD SA","FR0000120693","4682329","0.2951","Consumer Staples","Equity","France","$8,656,708","72,225","119.86","Nyse Euronext - Euronext Paris","USD","EUR","0.92","8,656,707.58"
"SAF","SAFRAN SA","FR0000073272","B058TZ6","0.2938","Industrials","Equity","France","$8,617,006","113,365","76.01","Nyse Euronext - Euronext Paris","USD","EUR","0.92","8,617,006.00"
"CRG","CRH PLC","IE0001827041","4182249","0.2935","Materials","Equity","Ireland","$8,608,500","282,024","30.52","Irish Stock Exchange - All Market","USD","EUR","0.92","8,608,500.15"
"DANSKE","DANSKE BANK","DK0010274414","4588825","0.2898","Financials","Equity","Denmark","$8,499,105","271,564","31.30","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.87","8,499,104.87"
"SAMAS","SAMPO OYJ","FI0009003305","5226038","0.2838","Financials","Equity","Finland","$8,322,745","167,302","49.75","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.92","8,322,745.32"
"RR","ROLLS-ROYCE HOLDINGS PLC","GB00B63H8491","B63H849","0.2835","Industrials","Equity","United Kingdom","$8,316,174","651,803","12.76","London Stock Exchange","USD","GBP","0.64","8,316,173.60"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","FR0000125007","7380482","0.2808","Industrials","Equity","France","$8,236,201","172,045","47.87","Nyse Euronext - Euronext Paris","USD","EUR","0.92","8,236,201.17"
"SSE","SSE PLC","GB0007908733","0790873","0.2799","Utilities","Equity","United Kingdom","$8,209,620","344,255","23.85","London Stock Exchange","USD","GBP","0.64","8,209,619.74"
"BA.","BAE SYSTEMS PLC","GB0002634946","0263494","0.2785","Industrials","Equity","United Kingdom","$8,168,161","1,105,312","7.39","London Stock Exchange","USD","GBP","0.64","8,168,161.18"
"SWED A","SWEDBANK","SE0000242455","4846523","0.2771","Financials","Equity","Sweden","$8,127,140","351,127","23.15","Nasdaq Omx Nordic","USD","SEK","8.74","8,127,139.67"
"CA","CARREFOUR SA","FR0000120172","5641567","0.2746","Consumer Staples","Equity","France","$8,053,334","231,816","34.74","Nyse Euronext - Euronext Paris","USD","EUR","0.92","8,053,334.32"
"KBC","KBC GROEP","BE0003565737","4497749","0.2698","Financials","Equity","Belgium","$7,912,598","114,780","68.94","Nyse Euronext - Euronext Brussels","USD","EUR","0.92","7,912,597.58"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","SE0007100599","BXDZ9Q1","0.2632","Financials","Equity","Sweden","$7,719,226","512,809","15.05","Nasdaq Omx Nordic","USD","SEK","8.74","7,719,225.67"
"HEN3","HENKEL AG & CO KGAA PREF","DE0006048432","5076705","0.2604","Consumer Staples","Equity","Germany","$7,637,704","62,700","121.81","Xetra","USD","EUR","0.92","7,637,704.26"
"CNA","CENTRICA PLC","GB00B033F229","B033F22","0.2560","Utilities","Equity","United Kingdom","$7,510,174","1,775,666","4.23","London Stock Exchange","USD","GBP","0.64","7,510,174.02"
"ARM","ARM HOLDINGS PLC","GB0000595859","0059585","0.2502","Information Technology","Equity","United Kingdom","$7,338,269","491,061","14.94","London Stock Exchange","USD","GBP","0.64","7,338,269.49"
"ASSA B","ASSA ABLOY B","SE0007100581","BYPC1T4","0.2436","Industrials","Equity","Sweden","$7,145,659","352,876","20.25","Nasdaq Omx Nordic","USD","SEK","8.74","7,145,659.22"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","SE0000148884","4813345","0.2422","Financials","Equity","Sweden","$7,105,172","597,402","11.89","Nasdaq Omx Nordic","USD","SEK","8.74","7,105,171.51"
"RNO","RENAULT PAR SA","FR0000131906","4712798","0.2378","Consumer Discretionary","Equity","France","$6,974,117","72,610","96.05","Nyse Euronext - Euronext Paris","USD","EUR","0.92","6,974,117.42"
"REL","RELX PLC","GB00B2B0DG97","B2B0DG9","0.2345","Consumer Discretionary","Equity","United Kingdom","$6,878,457","393,157","17.50","London Stock Exchange","USD","GBP","0.64","6,878,457.46"
"AMS","AMADEUS IT HOLDING SA","ES0109067019","B3MSM28","0.2341","Information Technology","Equity","Spain","$6,866,285","156,871","43.77","Bolsa De Madrid","USD","EUR","0.92","6,866,284.77"
"NXT","NEXT PLC","GB0032089863","3208986","0.2325","Consumer Discretionary","Equity","United Kingdom","$6,820,338","54,694","124.70","London Stock Exchange","USD","GBP","0.64","6,820,337.97"
"EXPN","EXPERIAN PLC","GB00B19NLV48","B19NLV4","0.2318","Industrials","Equity","United Kingdom","$6,799,004","358,255","18.98","London Stock Exchange","USD","GBP","0.64","6,799,003.51"
"VOLV B","VOLVO CLASS B","SE0000115446","B1QH830","0.2248","Industrials","Equity","Sweden","$6,594,291","560,380","11.77","Nasdaq Omx Nordic","USD","SEK","8.74","6,594,290.69"
"ML","MICHELIN","FR0000121261","4588364","0.2215","Consumer Discretionary","Equity","France","$6,496,856","64,524","100.69","Nyse Euronext - Euronext Paris","USD","EUR","0.92","6,496,856.33"
"SKY","SKY PLC","GB0001411924","0141192","0.2191","Consumer Discretionary","Equity","United Kingdom","$6,426,741","364,090","17.65","London Stock Exchange","USD","GBP","0.64","6,426,740.82"
"HEIA","HEINEKEN NV","NL0000009165","7792559","0.2138","Consumer Staples","Equity","Netherlands","$6,272,157","74,767","83.89","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","6,272,157.27"
"ABF","ASSOCIATED BRITISH FOODS PLC","GB0006731235","0673123","0.2138","Consumer Staples","Equity","United Kingdom","$6,270,727","124,124","50.52","London Stock Exchange","USD","GBP","0.64","6,270,726.98"
"REN","RELX NV","NL0006144495","4148810","0.2135","Consumer Discretionary","Equity","Netherlands","$6,261,519","373,685","16.76","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","6,261,519.30"
"FME","FRESENIUS MEDICAL CARE AG","DE0005785802","5129074","0.2134","Health Care","Equity","Germany","$6,260,284","75,210","83.24","Xetra","USD","EUR","0.92","6,260,284.10"
"INVE B","INVESTOR B","SE0000107419","5679591","0.2122","Financials","Equity","Sweden","$6,223,125","160,842","38.69","Nasdaq Omx Nordic","USD","SEK","8.74","6,223,124.81"
