iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,970,539,105"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"ERIC B","SE0000108656","5959378","ERICSSON B","0.3989","Equity","Information Technology","Sweden","$11,902,727","1,052,309","11.31","Nasdaq Omx Nordic","USD","SEK","8.29","11,902,727.17"
"AV.","GB0002162385","0216238","AVIVA PLC","0.3870","Equity","Financials","United Kingdom","$11,548,029","1,371,700","8.42","London Stock Exchange","USD","GBP","0.64","11,548,028.87"
"STAN","GB0004082847","0408284","STANDARD CHARTERED PLC","0.3824","Equity","Financials","United Kingdom","$11,408,610","699,552","16.31","London Stock Exchange","USD","GBP","0.64","11,408,610.21"
"ENEL","IT0003128367","7144569","ENEL","0.3778","Equity","Utilities","Italy","$11,272,594","2,404,517","4.69","Borsa Italiana S.P.A.","USD","EUR","0.90","11,272,593.55"
"VIV","FR0000127771","4834777","VIVENDI SA","0.3758","Equity","Consumer Discretionary","France","$11,211,167","443,374","25.29","Nyse Euronext - Euronext Paris","USD","EUR","0.90","11,211,166.60"
"WPP","JE00B8KF9B49","B8KF9B4","WPP PLC","0.3708","Equity","Consumer Discretionary","United Kingdom","$11,064,435","461,697","23.96","London Stock Exchange","USD","GBP","0.64","11,064,434.71"
"DPW","DE0005552004","4617859","DEUTSCHE POST AG","0.3671","Equity","Industrials","Germany","$10,954,519","330,086","33.19","Xetra","USD","EUR","0.90","10,954,519.19"
"EOAN","DE000ENAG999","4942904","E.ON N","0.3619","Equity","Utilities","Germany","$10,797,088","691,091","15.62","Xetra","USD","EUR","0.90","10,797,088.50"
"GSZ","FR0010208488","B0C2CQ3","GDF SUEZ SA","0.3613","Equity","Utilities","France","$10,780,269","525,386","20.52","Nyse Euronext - Euronext Paris","USD","EUR","0.90","10,780,269.24"
"CPG","GB00BLNN3L44","BLNN3L4","COMPASS GROUP PLC","0.3571","Equity","Consumer Discretionary","United Kingdom","$10,653,760","581,174","18.33","London Stock Exchange","USD","GBP","0.64","10,653,760.38"
