iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,204,139,587"
Shares Outstanding,"31,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"SM","SM ENERGY CO.","US78454L1008","2764188","0.1587","Energy","Equity","$1,877,173","55,719","33.69","New York Stock Exchange Inc.","1,877,173.11"
"DRQ","DRIL QUIP INC","US2620371045","2116767","0.1584","Energy","Equity","$1,874,373","32,156","58.29","New York Stock Exchange Inc.","1,874,373.24"
"QEP","QEP RESOURCES INC","US74733V1008","B60X657","0.1536","Energy","Equity","$1,816,636","134,466","13.51","New York Stock Exchange Inc.","1,816,635.66"
"RDC","ROWAN COMPANIES CLASS A PLC","GB00B6SLMV12","B840261","0.1471","Energy","Equity","$1,740,053","102,840","16.92","New York Stock Exchange Inc.","1,740,052.80"
"USD","USD CASH","-","-","0.1355","Cash and/or Derivatives","Cash","$1,602,839","1,602,839","100.00","-","1,602,839.02"
"EXH","EXTERRAN HOLDINGS INC.","US30225X1037","B241SX1","0.1213","Energy","Equity","$1,434,801","57,461","24.97","New York Stock Exchange Inc.","1,434,801.17"
"WPX","WPX ENERGY INC","US98212B1035","B40PCD9","0.1210","Energy","Equity","$1,432,000","194,038","7.38","New York Stock Exchange Inc.","1,432,000.44"
"CRZO","CARRIZO OIL & GAS INC.","US1445771033","2092801","0.1205","Energy","Equity","$1,425,168","39,110","36.44","NASDAQ","1,425,168.40"
"BRS","BRISTOW GROUP INC.","US1103941035","2656229","0.1091","Energy","Equity","$1,290,797","28,678","45.01","New York Stock Exchange Inc.","1,290,796.78"
"TK","TEEKAY CORP","MHY8564W1030","2933795","0.1050","Energy","Equity","$1,242,212","38,578","32.20","New York Stock Exchange Inc.","1,242,211.60"
"OIS","OIL STATES INTERNATIONAL INC.","US6780261052","2724472","0.1049","Energy","Equity","$1,240,828","42,567","29.15","New York Stock Exchange Inc.","1,240,828.05"
"AR","ANTERO RESOURCES CORP","US03674X1063","BFD2WR8","0.1048","Energy","Equity","$1,239,907","47,984","25.84","New York Stock Exchange Inc.","1,239,906.56"
"DO","DIAMOND OFFSHORE DRILLING INC","US25271C1027","2261021","0.0985","Energy","Equity","$1,165,239","55,620","20.95","New York Stock Exchange Inc.","1,165,239.00"
